Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,total_esg_risk_score,environment_risk_score,governance_risk_score,social_risk_score,controversy_score
1.0,0.25428575214234045,-0.2970684726344217,0.5838847771343885,0.9936556734771297,0.9790983465118547,0.47664640487877297,0.19380505734796122,0.17790803997953025,0.060754463156131276,-0.02489839745018971,-0.12037171579675596,0.056106484924049196,0.08902786552011016,0.09256526403262157
0.25428575214234045,1.0,-0.2083485574374979,0.023246449240912292,0.23891988663702524,0.2006734455193875,0.13478234290272112,-0.0015772521018966698,0.1953635910373276,0.013310330806580423,-0.04075106707064721,-0.04003844778003149,-0.013438357019721233,-0.012934546635897675,-0.0563007439650089
-0.2970684726344217,-0.2083485574374979,1.0,-0.1501039096066196,-0.2968685731076287,-0.2568492593882738,-0.007790422054740908,0.14858790871043684,-0.10651135707529533,0.03771734246994157,0.049977051372249365,0.19930849609182866,-0.033534617018298844,-0.16781516243215613,0.06202918439741647
0.5838847771343885,0.023246449240912292,-0.1501039096066196,1.0,0.5734574366379286,0.6068079754002772,0.19943654397625815,0.20838509681570266,-0.06928923598334043,0.04890761431099073,-0.0713390674208793,-0.1507104070504454,0.02078940504358065,0.06428259885693915,0.05867904724265734
0.9936556734771297,0.23891988663702524,-0.2968685731076287,0.5734574366379286,1.0,0.9840878272038521,0.4660629411241845,0.19048762369576983,0.18898007956886093,0.05876400095788843,-0.028405688355247007,-0.11776453667444312,0.04999309186361643,0.0824332903581839,0.08820984776658838
0.9790983465118547,0.2006734455193875,-0.2568492593882738,0.6068079754002772,0.9840878272038521,1.0,0.46622250211734007,0.20760175593349942,0.17118421217520466,0.057549005806738364,-0.030449545578854393,-0.11160806805723907,0.053792369417810584,0.0674345620383859,0.08302785988025956
0.47664640487877297,0.13478234290272112,-0.007790422054740908,0.19943654397625815,0.4660629411241845,0.46622250211734007,1.0,0.7708512769722827,0.05669359211647911,0.061371777598194774,0.09428074376089267,-0.10822993650386646,0.24587149481184212,0.184147871731911,0.4015053172924061
0.19380505734796122,-0.0015772521018966698,0.14858790871043684,0.20838509681570266,0.19048762369576983,0.20760175593349942,0.7708512769722827,1.0,-0.07719877917654161,0.0502924791528467,0.08467931364215327,0.020291029854520446,0.029175484584206175,0.11488286510227393,0.36750191048145436
0.17790803997953025,0.1953635910373276,-0.10651135707529533,-0.06928923598334043,0.18898007956886093,0.17118421217520466,0.05669359211647911,-0.07719877917654161,1.0,0.047773178650987,-0.2594893212222034,-0.18877721561222086,-0.021892366208637555,-0.2127811332059168,-0.21671530054468358
0.060754463156131276,0.013310330806580423,0.03771734246994157,0.04890761431099073,0.05876400095788843,0.057549005806738364,0.061371777598194774,0.0502924791528467,0.047773178650987,1.0,0.04242569228016607,-0.03741296479799536,0.07956339034767268,0.08317431029037645,0.07060726455938486
-0.02489839745018971,-0.04075106707064721,0.049977051372249365,-0.0713390674208793,-0.028405688355247007,-0.030449545578854393,0.09428074376089267,0.08467931364215327,-0.2594893212222034,0.04242569228016607,1.0,0.7025490992978798,0.36752966697291317,0.6807612083244924,0.34637614189773036
-0.12037171579675596,-0.04003844778003149,0.19930849609182866,-0.1507104070504454,-0.11776453667444312,-0.11160806805723907,-0.10822993650386646,0.020291029854520446,-0.18877721561222086,-0.03741296479799536,0.7025490992978798,1.0,-0.20502350729058225,0.04226141704284374,0.10766311211896369
0.056106484924049196,-0.013438357019721233,-0.033534617018298844,0.02078940504358065,0.04999309186361643,0.053792369417810584,0.24587149481184212,0.029175484584206175,-0.021892366208637555,0.07956339034767268,0.36752966697291317,-0.20502350729058225,1.0,0.3825809005510412,0.1827759352697737
0.08902786552011016,-0.012934546635897675,-0.16781516243215613,0.06428259885693915,0.0824332903581839,0.0674345620383859,0.184147871731911,0.11488286510227393,-0.2127811332059168,0.08317431029037645,0.6807612083244924,0.04226141704284374,0.3825809005510412,1.0,0.3945225339027434
0.09256526403262157,-0.0563007439650089,0.06202918439741647,0.05867904724265734,0.08820984776658838,0.08302785988025956,0.4015053172924061,0.36750191048145436,-0.21671530054468358,0.07060726455938486,0.34637614189773036,0.10766311211896369,0.1827759352697737,0.3945225339027434,1.0
